trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-120.88857897274599,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-61.45190379868924,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-155.90827314279215,"{0: 20, 1: 5, 2: 1, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-102.97567281055635,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-63.10387905285123,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,15,-0.2194463801172737,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-36.60583280837414,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-120.03580991856067,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-146.3294434506114,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,3,-201.33863837807178,"{0: 15, 1: 0, 2: 8, 3: 1, 4: 3}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-126.26515369833209,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,2,-71.78374397985478,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 2}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-147.4235860201977,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,2,-18.43326938984216,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,12,-3.279551404265682,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,14,-0.803095351815422,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-65.54895733628135,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-181.2853084926466,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 5}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,8,21.656482347148753,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-82.9658987839255,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",30,14,7.107989025587947,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,15,7.298799153510179,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,5,-28.797149023263902,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",20,0,-67.09832027854308,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",25,11,-16.50774833600213,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",20,9,8.298955603529578,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,15,-23.01173667481894,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",25,0,-106.13500178656153,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 3}",0
9,True,"{'a': 0, 'e': 0}",30,12,19.01204567964181,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,13,12.104109327346764,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
