trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9801}",25,0,-181.31202603212992,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9702989999999999}",25,0,-193.10565535074628,"{0: 11, 1: 3, 2: 7, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.96059601}",30,0,-116.2922144916814,"{0: 18, 1: 2, 2: 8, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9509900498999999}",20,0,-141.07628021235342,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9414801494009999}",20,0,-110.22333475101954,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9320653479069899}",25,0,-46.57720829707091,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.92274469442792}",20,4,-26.745033038671078,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.9135172474836407}",20,0,-61.94243292570743,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9043820750088043}",25,0,-266.7669723523351,"{0: 10, 1: 2, 2: 7, 3: 2, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.8953382542587163}",20,0,-99.43476739214692,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.8863848717161291}",20,7,-75.51000900033138,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.8775210229989678}",20,0,-103.97830534336823,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8687458127689781}",20,0,-45.0583953190247,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
