trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-5.992623019868095,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-131.62868192482833,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.0491227301731,"{0: 10, 1: 1, 2: 8, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-153.38745626912498,"{0: 12, 1: 2, 2: 9, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-120.93885422900671,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,8,-26.515936093805184,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-166.8321215947997,"{0: 12, 1: 1, 2: 10, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-156.92362199704013,"{0: 13, 1: 2, 2: 6, 3: 3, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-52.77995059232434,"{0: 21, 1: 3, 2: 6, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,10,-31.796726569886214,"{0: 6, 1: 1, 2: 2, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-91.31774469753022,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.05349381355477,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",35,0,-234.9693678615347,"{0: 19, 1: 4, 2: 6, 3: 3, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,7,-111.02032127388244,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 2}",1
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-123.21415386924836,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-117.88289632160777,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.10921361006497,"{0: 11, 1: 1, 2: 6, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-123.72224471054257,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-124.53093901529057,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-123.46441879060949,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-73.34543703896952,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-115.19843993789365,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",35,0,-172.27518331318078,"{0: 21, 1: 4, 2: 6, 3: 2, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-86.92633380428343,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-32.74563138143057,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-148.13662365769326,"{0: 14, 1: 2, 2: 5, 3: 3, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-104.38370145058633,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-117.21633793179286,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-87.99004079810794,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-52.55331288966007,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
